"","lat","lon","river","ppt","pet","deficit","surplus","discharge","basinarea","runoff","aet","cropcoef","MI.aet","MI.pet"
"28",66.023285528295,-113.782969545975,"Coppermine",236.965841231963,244.847527017202,105.995452880859,98.1137667177603,337.69,50700,210.047176331361,26.9186649006019,0.109940521877155,8.80303098637942,0.967809820743316
"29",53.5640519532661,-74.3373770901203,"La Grande Rivière",743.825469164991,323.486211092873,5.46928872996539,425.808547366862,3400,97600,1098.59016393443,-354.764694769435,-1.09669186074699,-2.09667275276197,2.29940394260403
"30",36.4273032419639,-85.564010298802,"Cumberland",1317.96856577945,830.912196793502,43.7988083739277,530.8551758612,1055,45920,724.531358885017,593.437206894428,0.714199658140184,2.22090652636465,1.58617068189094
"31",32.2081900444215,-84.5013389502595,"Apalachicola",1361.14028594477,1006.64044697924,77.3214398903977,431.821278306381,555.1,50505,346.611891891892,1014.52839405288,1.00783591310811,1.34164829089429,1.35216133032338
"32",45.4342670785705,-69.0534768820985,"Penobscot",1052.38407822259,517.101946569535,11.9307416804817,547.212873512339,342,22300,483.646278026906,568.73780019568,1.09985623525245,1.85038532318496,2.03515783532459
"33",43.2881124210969,-72.1406527924752,"Connecticut",1098.82847052049,569.603274659808,18.2874428421812,547.512637887309,520,29200,561.6,537.228470520488,0.943162538595559,2.04536529766544,1.9291119265014
"34",44.5819359183578,-90.0291398733423,"Wisconsin",803.630709541289,585.780508365869,30.9322547027184,248.78245493782,340,31800,337.177358490566,466.453351050723,0.796293738676918,1.72285333084444,1.3718973200101
"35",39.5732420024916,-86.6573194397387,"Wabash",994.776328977175,731.78377875965,64.8148574003263,327.80740704429,1001,86000,367.064372093023,627.711956884152,0.857783371405286,1.58476562070773,1.35938559701786
"36",69.1269929393177,-155.144840834434,"Colville River",228.832523241754,233.237679958217,98.9170758244973,94.5119190858423,288.6,53000,171.722445283019,57.1100779587348,0.244857854738418,4.00686763914239,0.981113014341197
"37",58.2860565332511,-122.273388408918,"Fort Nelson",524.756464795151,387.166959981449,44.8065397517825,182.396044579267,331.9,55900,187.241474060823,337.514990734328,0.871755665179951,1.55476491178494,1.35537511987152
